order_id,customer_id,store_id,staff_id,item_id,product_id,product_name,brand_id,category_id,model_year,quantity,list_price,EGP,list_price_egp,discount,order_status,order_date,required_date,shipped_date,late_delivery,latency_days,weekend
1,259,1,2,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.2,4,2016-01-01,2016-01-03,2016-01-03,False,0 days,True
2,1212,2,6,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.07,4,2016-01-01,2016-01-04,2016-01-03,False,0 days,True
3,523,2,7,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.05,4,2016-01-02,2016-01-05,2016-01-03,False,0 days,True
6,94,2,6,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.1,4,2016-01-04,2016-01-07,2016-01-05,False,0 days,False
8,1204,2,7,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.07,4,2016-01-04,2016-01-05,2016-01-05,False,0 days,False
13,873,2,6,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.1,4,2016-01-08,2016-01-11,2016-01-11,False,0 days,True
17,1175,1,3,4,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.2,4,2016-01-12,2016-01-14,2016-01-14,False,0 days,False
35,813,2,7,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.05,4,2016-01-22,2016-01-25,2016-01-24,False,0 days,True
51,1047,2,7,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.05,4,2016-02-01,2016-02-02,2016-02-03,True,1 days,False
56,1241,2,6,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.07,4,2016-02-04,2016-02-06,2016-02-07,True,1 days,True
77,385,1,2,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.07,4,2016-02-16,2016-02-19,2016-02-19,False,0 days,False
83,393,1,3,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.2,4,2016-02-19,2016-02-20,2016-02-20,False,0 days,False
87,516,2,6,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.2,4,2016-02-21,2016-02-22,2016-02-23,True,1 days,False
95,218,2,7,4,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.05,4,2016-02-27,2016-02-29,2016-02-28,False,0 days,True
97,204,2,7,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.2,4,2016-02-28,2016-02-29,2016-03-01,True,1 days,False
127,484,3,8,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.1,4,2016-03-17,2016-03-18,2016-03-19,True,1 days,False
132,46,1,3,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.05,4,2016-03-20,2016-03-22,2016-03-23,True,1 days,False
146,288,1,3,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.1,4,2016-03-28,2016-03-30,2016-03-30,False,0 days,False
169,99,2,7,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.1,4,2016-04-10,2016-04-11,2016-04-11,False,0 days,True
173,117,3,8,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.05,4,2016-04-11,2016-04-14,2016-04-13,False,0 days,False
177,121,1,2,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.1,4,2016-04-16,2016-04-19,2016-04-19,False,0 days,False
179,616,2,6,5,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.1,4,2016-04-17,2016-04-19,2016-04-19,False,0 days,False
196,1247,2,6,5,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.1,4,2016-04-28,2016-04-30,2016-05-01,True,1 days,True
198,640,2,6,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.07,4,2016-05-01,2016-05-04,2016-05-03,False,0 days,False
206,743,3,9,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.2,4,2016-05-04,2016-05-06,2016-05-05,False,0 days,False
223,1368,2,7,4,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.05,4,2016-05-15,2016-05-16,2016-05-17,True,1 days,False
237,1351,2,7,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.2,4,2016-05-25,2016-05-26,2016-05-27,True,1 days,False
238,1350,2,6,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.2,4,2016-05-26,2016-05-29,2016-05-29,False,0 days,True
277,546,2,7,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.2,4,2016-06-19,2016-06-20,2016-06-20,False,0 days,True
282,159,3,9,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.07,4,2016-06-22,2016-06-25,2016-06-25,False,0 days,False
284,1356,2,7,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.2,4,2016-06-23,2016-06-25,2016-06-25,False,0 days,False
287,133,2,6,4,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.05,4,2016-06-25,2016-06-26,2016-06-27,True,1 days,True
304,230,2,6,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.1,4,2016-07-07,2016-07-08,2016-07-08,False,0 days,False
316,670,2,7,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.1,4,2016-07-17,2016-07-20,2016-07-19,False,0 days,False
343,961,2,7,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.2,4,2016-07-31,2016-08-02,2016-08-01,False,0 days,True
351,1307,1,2,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.2,4,2016-08-03,2016-08-06,2016-08-04,False,0 days,False
363,834,3,8,4,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.2,4,2016-08-11,2016-08-12,2016-08-13,True,1 days,False
384,410,2,7,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.1,4,2016-08-20,2016-08-22,2016-08-23,True,1 days,False
418,88,2,6,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.05,4,2016-09-04,2016-09-05,2016-09-05,False,0 days,True
421,240,1,3,3,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.2,4,2016-09-05,2016-09-06,2016-09-08,True,2 days,False
422,398,2,6,1,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,2,599.99,47.9492,28769.040508,0.05,4,2016-09-06,2016-09-07,2016-09-09,True,2 days,False
434,726,2,6,2,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,1,599.99,47.9492,28769.040508,0.1,4,2016-09-13,2016-09-15,2016-09-14,False,0 days,False
